crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type;source_reference;source_product_category;source_contract_state;source_duplicate_count;target_siren;already_in_crm_ok_gt_exact;existing_component_relation;crm_surface_fingerprint;crm_gt_fingerprint;ambiguous_exact_truth_for_crm_surface;already_in_crm_ok_gt_exact_surface
CENTRE SOCIO-CULTUREL LA BLAISERIE;86000;86194;100203;POITIERS;32075384100016;39 RUE DE L AEROPOSTALE;POITIERS;86194;86000;A;INSEE_AND_CP;S231026_19833;Fibre Essentiel;active;1;320753841;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;0d00163addc62c94a7f95c724bde69880552a7d56df07522f80dacbc311c77d8;e12722670f11ca9dcd954b64fb7be3180891a7abbec102228124ca5f0821c2a6;False;False
XLAM INDUSTRIE  XLAM INDUSTRIE;39250;39331;100207;MIGNOVILLARD;84376373100026;4 RUE DE L USINE;MIGNOVILLARD;39331;39250;A;INSEE_AND_CP;S231026_04254;Revente Fibre Essentiel AI;active;1;843763731;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;a55b697037bf76be17b178c15ad2240d059c69635f42bb7335e2d3f4c85d3719;cfde0bc21e834b048c78744d46d7354bb421709c4f2f811714ab652099867c1e;False;False
 ECOLE ALZONNE;11170;11009;100208;ALZONNE;21110009400013;16 RUE DES ECOLES;ALZONNE;11009;11170;A;INSEE_AND_CP;S231026_52474;Revente Fibre Essentiel AI;active;1;211100094;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;5391ba81074e25113545766f64eada8193d0e8f2a601ca023aa8130fa3ad77a8;3b13d08fd6327ff17ce4c5705e71f8f26400000de311666b0e67124155af5d7a;False;False
SCHENKER FRANCE;91300;91377;100210;MASSY;31179945600992;21 RUE DU PEROU;MASSY;91377;91300;A;INSEE_AND_CP;S231026_69355;Fibre Essentiel;active;1;311799456;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;9f6d1dac31995ab454a12dd7ba34b4939cdda4bfe26a9a01fff25d8f163b5285;7c0526bb2a8a7c3827eb506939b7fcb071fe2426539baad92bff286c92e764f2;False;False
DIRECTION DEPARTEMENTALE FINANCES P;84000;84007;100211;AVIGNON;13001145500016;0 COURS JEAN JAURES;AVIGNON;84007;84000;A;INSEE_AND_CP;S231026_46080;Revente ADSL;active;1;130011455;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;84128589d1cdf33aa17bfa542d55ebeacc0a3c4dc9a5eb0a0341d3f837fc3338;c453318c703ae5b657a3e55c8f36a05468db1ac32ec46fa959d588cb00ce9639;False;False
COUR DAPPEL DE ROUEN;76380;76157;100212;CANTELEU;17760111900700;6 ANCIENNE ROUTE DE DUCLAIR;CANTELEU;76157;76380;A;INSEE_AND_CP;S231026_73738;ADSL;terminated;2;177601119;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;840e3021e595519850f2d38cd239caedbdbcac8d4150b84aaf11758ba71d5f99;05d04ee281ec5eb2b53ab21c66c7706af362f06780409c38a96df48205746108;False;False
LHSM - EAU POTABLE-E18FR FRILEUSE;76600;76351;100213;LE HAVRE;20008495200031;7 RUE DES MARRONNIERS;LE HAVRE;76351;76600;A;INSEE_AND_CP;S231026_56430;ADSL;active;1;200084952;True;EXISTING_TRAIN_COMPONENT;e376d15192d5c4edeaf36f0d01901b102b37f794b0f17d7b225627bb00af1846;a5d1d5ca81bc886939c8a0b80da9d764b642f31b8d7a93026d9789f33ef1c24f;False;False
INNLOG;17000;17300;100214;LA ROCHELLE;80820758300010;0 RUE NICOLAS APPERT;LA ROCHELLE;17300;17000;A;INSEE_AND_CP;S231026_98263;ADSL;active;1;808207583;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;35d71a5af58bf92e6c0c206f3da67d4efd50e67c8b7c2345c2b464a869b6e780;b7aabcef96bf4f53329934a502216113b25936274a3a567bbab210e1a58fb48c;False;False
PRESBYTERE  ;11170;11009;100215;ALZONNE;21110009400013;8 RUE DU PRESBYTERE;ALZONNE;11009;11170;A;INSEE_AND_CP;S231026_03395;Revente Fibre Essentiel AI;active;1;211100094;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;aa94b1ef3124115861d05488a9dcac6c41f7463adb7195c77b62eb8e1c9d90ec;11a226118f4e910282b3d9e8ce9cecb79470268c13517dde4652441dcf8b5ffc;False;False
PLAINE COMMUNE;93400;93070;100216;ST OUEN SUR SEINE;21930070400018;19 RUE SAINT DENIS;ST OUEN SUR SEINE;93070;93400;A;INSEE_AND_CP;S231026_75963;Fibre Essentiel;active;1;219300704;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;7fee3f9fd6baa8dc86d278568393f6394f38dcfb52de4a61b5ee6ef063fad15b;e3fdb99eea0ec096853c76953021c1e6fbadb221c9bac3013209464696403623;False;False
PIMMS MEDIATION BORDEAUX;33000;33063;100222;BORDEAUX;79886728900026;14 COURS DES AUBIERS;BORDEAUX;33063;33800;A;INSEE_ONLY;S231026_64113;Fibre Essentiel;active;1;798867289;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;70f8b8d722199bea026b487cc5322c1c7162579ed7989eccd14d12cf27b6c384;527f0737f4c94c1d8855b5d6fcfb732e8f9bac10378ca113f70e6eaadd33fae7;False;False
GROUPEMENT DINTERET PUBLIC POUR LE;06110;06030;100223;LE CANNET;13002360900014;1 RUE VICTORIEN SARDOU;LE CANNET;06030;06110;A;INSEE_AND_CP;S231026_27467;Fibre Essentiel;active;1;130023609;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;12f328e36357f576091c1f305c776fbd275af1e90760abedd77efb9cf1361152;ec1183037fa4f67b856689f427612670dc56fc2e39ea13b26d97ea81a5c2adf5;False;False
HOTEL DU GRAND CERF;53500;53096;100227;ERNEE;81758342000028;17 AVENUE ARISTIDE BRIAND;ERNEE;53096;53500;A;INSEE_AND_CP;S231026_41094;Fibre Essentiel;terminated;2;817583420;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;13ab7bd8165a1a3cd615ee49fd1da605351d59876f13166ba08442f7db368e3e;e00f45e80b15f3689e2e6073ed4a94d2eee55f7c405be36ed47258b9d3762653;False;False
AU FORUM DU BATIMENT;93200;93066;100230;ST DENIS;40309296800367;248 RUE DU LANDY;ST DENIS;93066;93200;A;INSEE_AND_CP;S231026_63545;Fibre Essentiel;active;1;403092968;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;aa275a65ca25565bc201f10a32dcad9721a47582f0df3ebaa7521101a26c0f93;69166a0109ad7d8e922cfcc6441942cdd1f85a3c5cc4b574d2a6c3e8c6a2428b;False;False
SAS BUISSON - TRYBA;87000;87085;100231;LIMOGES;39281556900034;32 RUE AUGUSTE COMTE;LIMOGES;87085;87280;A;INSEE_ONLY;S231027_38194;Fibre Essentiel;active;1;392815569;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;8f5a7c4bdcc52dd736ccc662d1d977a1a4adecaa6a1da2814282248ad242c583;8994863b31a160d77c38bf69df2f1147931b94e601bca6efc94d504e1188a7e2;False;False
COMMUNE DE CAUSSADE-CENTRE DE PREVENTION;82300;82037;100232;CAUSSADE;21820037600018;21 AVENUE DU GENERAL LECLERC;CAUSSADE;82037;82300;A;INSEE_AND_CP;S231027_76685;Revente Fibre Essentiel AI;active;1;218200376;True;EXISTING_TRAIN_COMPONENT;d4ce2f57c715d192dacf16369da033f7efbbe9abecbdff6772c69bf0a8367d88;c01b502bf14bce974a219dc1f4ada3ac9e02788a541bbfe8947e2147734ed49a;False;False
CHD;08300;08362;100239;RETHEL;39476332000097;6A PROMENADE DES ISLES;RETHEL;08362;08300;F;INSEE_AND_CP;S231027_79035;Revente Fibre Essentiel AI;active;1;394763320;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;062510da92b4c065bddb6d5a7cab124d147e55e281018623c16e6ae561d5c144;fe7889a815a720281c984d17eeeffba8f5badf8573b749efd70432693f97da90;False;False
